ticket_id,timestamp,asset_id,assigned_staff,priority,status,work_type,approval_date
WO-1000,2026-03-04T08:00:00Z,WT-G-001,STF-001,Low,Completed,Routine_Check,2026-03-03T10:00:00Z
WO-1001,2026-03-01T17:45:00Z,YAW-DRIVE-D2,STF-012,High,Completed,Firmware_Patch,2026-03-01T00:45:00Z
WO-1002,2026-03-02T04:28:00Z,PITCH-MOT-11,STF-002,Critical,Pending,Logic_Update,2026-03-01T02:28:00Z
WO-1003,2026-03-09T16:40:00Z,PITCH-MOT-01,STF-009,High,In_Progress,Logic_Update,2026-03-08T02:40:00Z
WO-1004,2026-03-08T15:29:00Z,BRAKE-SYS-03,STF-020,Medium,Cancelled,Inspection,2026-03-07T14:29:00Z
WO-1005,2026-03-01T22:19:00Z,WT-G-008,STF-001,Medium,Cancelled,Firmware_Patch,2026-03-01T06:19:00Z
WO-1006,2026-03-06T07:00:00Z,CONV-DC-AC-07,STF-007,High,Pending,Routine_Check,2026-03-05T10:00:00Z
WO-1007,2026-03-06T03:22:00Z,PITCH-MOT-01,STF-003,Medium,Pending,Hardware_Maintenance,2026-03-05T09:22:00Z
WO-1008,2026-03-02T14:59:00Z,WT-G-014,STF-020,Low,In_Progress,Inspection,2026-02-28T19:59:00Z
WO-1009,2026-03-08T22:53:00Z,PITCH-MOT-13,STF-016,High,Pending,Routine_Check,2026-03-07T16:53:00Z
WO-1010,2026-03-10T11:42:00Z,WT-G-004,STF-003,High,In_Progress,Firmware_Patch,2026-03-09T08:42:00Z
WO-1011,2026-03-08T09:12:00Z,WT-G-010,STF-019,Medium,Pending,Firmware_Patch,2026-03-06T20:12:00Z
WO-1012,2026-03-08T18:13:00Z,NAC-TEMP-S10,STF-018,Medium,Cancelled,Logic_Update,2026-03-07T14:13:00Z
WO-1013,2026-03-08T01:31:00Z,BRAKE-SYS-08,STF-009,Critical,Completed,Routine_Check,2026-03-07T17:31:00Z
WO-1014,2026-03-09T03:08:00Z,PITCH-MOT-08,STF-015,Low,Completed,Hardware_Maintenance,2026-03-08T08:08:00Z
WO-1015,2026-03-08T13:42:00Z,WT-G-011,STF-001,Medium,Completed,Routine_Check,2026-03-06T21:42:00Z
WO-1016,2026-03-06T15:24:00Z,YAW-DRIVE-F1,STF-003,Critical,Cancelled,Firmware_Patch,2026-03-05T03:24:00Z
WO-1017,2026-03-09T08:44:00Z,NAC-TEMP-S12,STF-007,Low,Pending,Hardware_Maintenance,2026-03-08T22:44:00Z
WO-1018,2026-03-07T05:25:00Z,YAW-DRIVE-E2,STF-006,High,Pending,Logic_Update,2026-03-06T19:25:00Z
WO-1019,2026-03-06T14:48:00Z,BRAKE-SYS-05,STF-019,Critical,In_Progress,Hardware_Maintenance,2026-03-05T05:48:00Z
WO-1020,2026-03-10T12:06:00Z,WT-G-018,STF-006,High,In_Progress,Logic_Update,2026-03-08T19:06:00Z
WO-1021,2026-03-02T19:55:00Z,NAC-TEMP-S07,STF-010,Medium,Cancelled,Routine_Check,2026-03-01T04:55:00Z
WO-1022,2026-03-10T02:05:00Z,PITCH-MOT-14,STF-015,High,Completed,Inspection,2026-03-08T14:05:00Z
WO-1023,2026-03-01T20:25:00Z,YAW-DRIVE-E2,STF-001,High,Cancelled,Routine_Check,2026-03-01T07:25:00Z
WO-1024,2026-03-07T22:21:00Z,NAC-TEMP-S07,STF-003,Low,Pending,Hardware_Maintenance,2026-03-06T17:21:00Z
WO-1025,2026-03-04T07:05:00Z,BRAKE-SYS-07,STF-003,Medium,Pending,Hardware_Maintenance,2026-03-02T08:05:00Z
WO-1026,2026-03-03T18:31:00Z,CONV-DC-AC-06,STF-018,Medium,Cancelled,Inspection,2026-03-03T12:31:00Z
WO-1027,2026-03-10T12:44:00Z,YAW-DRIVE-F1,STF-005,Medium,Pending,Routine_Check,2026-03-10T07:44:00Z
WO-1028,2026-03-03T16:21:00Z,PITCH-MOT-10,STF-017,Critical,In_Progress,Routine_Check,2026-03-02T05:21:00Z
WO-1029,2026-03-03T19:51:00Z,PITCH-MOT-13,STF-001,Low,Completed,Hardware_Maintenance,2026-03-03T02:51:00Z
WO-1030,2026-03-07T12:50:00Z,NAC-TEMP-S05,STF-004,High,Completed,Hardware_Maintenance,2026-03-05T13:50:00Z
